caseid,untrustworthy_flag,untrustworthy_n,republican,democrat,political_interest,ideology_bin,college,female,non_white,birthyr,weight,age,age_18_29,age_30_44,age_45_64,age_65_plus
305033232,1,40,0,1,4,3,1,1,0,1974,0.334866589589114,42,0,1,0,0
305033233,1,50,0,1,4,1,0,1,0,1952,0.220662274048938,64,0,0,1,0
305033234,0,0,1,0,4,5,0,0,0,1956,1.35548283255044,60,0,0,1,0
305033235,1,1,0,1,4,6,0,0,0,1956,0.238359871579992,60,0,0,1,0
305033237,0,0,1,0,4,2,0,0,0,1949,0.887942456134541,67,0,0,0,1
305033238,1,18,0,1,4,3,1,1,0,1957,0.20036437317342,59,0,0,1,0
305033239,0,0,0,1,4,1,1,0,0,1940,0.174482254792965,76,0,0,0,1
305033240,1,1,0,1,4,9,1,1,0,1958,0.401206502467145,58,0,0,1,0
305033242,1,4,0,1,4,2,1,0,0,1963,0.274007660956059,53,0,0,1,0
305033243,1,11,0,1,4,1,0,1,0,1942,0.183871667690523,74,0,0,0,1
305033244,0,0,0,0,4,10,1,0,1,1971,3.76995286511421,45,0,0,1,0
305033245,1,1,1,0,4,1,1,0,0,1979,1.90838115757845,37,0,1,0,0
305033247,0,0,1,0,4,7,0,0,0,1946,1.79189252129098,70,0,0,0,1
305033249,0,0,0,1,4,2,0,1,0,1950,0.596045044576912,66,0,0,0,1
305033250,1,18,0,1,4,6,1,0,0,1946,0.206444081809265,70,0,0,0,1
305033251,0,0,0,1,4,1,1,0,0,1960,0.262017896303204,56,0,0,1,0
305033252,1,30,0,1,4,2,1,0,0,1950,0.172313764706301,66,0,0,0,1
305033255,0,0,0,1,4,4,1,1,0,1950,0.173131155567415,66,0,0,0,1
305033259,0,0,1,0,3,7,1,1,0,1954,0.746576786624216,62,0,0,1,0
305033260,0,0,1,0,3,2,1,0,0,1969,1.37940626123428,47,0,0,1,0
305033261,1,1,0,1,4,4,1,0,0,1946,0.206444081809265,70,0,0,0,1
305033262,0,0,1,0,3,8,0,1,0,1955,1.350137626719,61,0,0,1,0
305033263,1,1,0,1,3,7,1,1,1,1976,1.08655663811163,40,0,1,0,0
305033264,1,10,1,0,2,7,1,0,0,1975,0.769469780117344,41,0,1,0,0
305033265,0,0,1,0,4,7,0,1,0,1945,0.497504044027158,71,0,0,0,1
305033266,0,0,0,1,4,4,1,0,1,1954,0.737972644047181,62,0,0,1,0
305033267,1,3,0,1,4,6,0,0,0,1955,0.198953084374713,61,0,0,1,0
305033269,1,16,0,1,3,1,1,1,1,1971,2.66557132723827,45,0,0,1,0
305033270,1,330,1,0,4,10,1,0,0,1953,0.34256568296288,63,0,0,1,0
305033271,0,0,0,1,4,7,0,0,0,1944,0.259501791663904,72,0,0,0,1
305033272,0,0,0,0,4,NA,1,0,1,1958,0.236387390408596,58,0,0,1,0
305033273,1,46,1,0,4,10,1,0,0,1961,0.34256568296288,55,0,0,1,0
305033274,0,0,0,1,4,NA,1,0,0,1957,0.302951427140516,59,0,0,1,0
305033276,1,37,0,0,4,8,1,1,0,1985,0.30969394699081,31,0,1,0,0
305033280,1,5,0,0,3,6,0,1,1,1984,1.53017645094763,32,0,1,0,0
305033281,1,3,0,1,3,5,1,1,0,1976,0.243591463745344,40,0,1,0,0
305033289,1,8,0,1,3,1,1,0,0,1964,0.34256568296288,52,0,0,1,0
305033291,0,0,0,1,3,10,1,1,1,1961,0.65925897715778,55,0,0,1,0
305033292,1,116,1,0,4,10,0,1,0,1958,0.223374204970815,58,0,0,1,0
305033293,1,2,1,0,4,4,1,0,1,1939,0.114367161330941,77,0,0,0,1
305033294,0,0,0,0,4,NA,1,0,0,1948,0.165128215662243,68,0,0,0,1
305033295,0,0,0,1,4,3,1,0,0,1942,0.165128215662243,74,0,0,0,1
305033296,1,42,0,0,3,7,0,0,0,1974,6.95290916424328,42,0,1,0,0
305033297,1,1,0,1,4,7,0,0,1,1970,0.513606378594383,46,0,0,1,0
305033298,1,4,0,1,4,1,0,0,0,1949,0.270794003861219,67,0,0,0,1
305033301,0,0,0,1,4,1,1,0,0,1953,0.34256568296288,63,0,0,1,0
305033302,1,8,0,1,4,4,1,0,0,1945,0.174482254792965,71,0,0,0,1
305033303,1,5,0,1,4,1,1,1,0,1958,0.148281224208277,58,0,0,1,0
305033304,1,8,1,0,4,9,1,0,0,1957,0.327576022080632,59,0,0,1,0
305033307,1,45,0,1,4,1,1,0,0,1946,0.206444081809265,70,0,0,0,1
305033308,0,0,0,1,4,NA,1,0,0,1931,0.174482254792965,85,0,0,0,1
305033312,0,0,0,1,4,3,1,0,0,1941,0.157473652425045,75,0,0,0,1
305033313,0,0,0,1,4,1,1,0,1,1944,0.126719866314092,72,0,0,0,1
305033314,1,3,0,1,4,5,1,0,1,1946,0.104523359621562,70,0,0,0,1
305033316,0,0,0,1,3,5,1,0,0,1943,0.206444081809265,73,0,0,0,1
305033318,1,5,0,1,4,2,1,0,0,1931,0.172313764706301,85,0,0,0,1
305033319,1,4,1,0,4,6,1,0,0,1947,0.174482254792965,69,0,0,0,1
305033321,0,0,0,1,4,1,1,0,0,1938,0.190925235649378,78,0,0,0,1
305033322,0,0,0,1,4,2,1,1,0,1948,0.216449395400719,68,0,0,0,1
305033323,1,42,0,1,4,1,0,1,0,1944,0.2037314984261,72,0,0,0,1
305033324,1,1,0,1,4,1,1,0,0,1960,0.316814282937428,56,0,0,1,0
305033326,1,33,0,1,4,1,1,0,0,1939,0.172313764706301,77,0,0,0,1
305033327,0,0,0,1,4,2,1,0,1,1966,0.737972644047181,50,0,0,1,0
305033330,0,0,0,1,4,3,0,1,0,1972,1.00384878945565,44,0,1,0,0
305033332,1,17,0,1,4,4,0,1,0,1970,0.184181337807281,46,0,0,1,0
305033333,0,0,0,1,4,1,1,0,0,1936,0.188664577315981,80,0,0,0,1
305033335,1,5,0,1,4,1,0,1,0,1960,0.220662274048938,56,0,0,1,0
305033337,1,23,0,0,4,10,1,0,0,1941,0.165128215662243,75,0,0,0,1
305033339,0,0,0,1,4,4,0,0,0,1942,0.324430376075113,74,0,0,0,1
305033340,0,0,0,0,4,2,0,0,1,1957,0.237174444156795,59,0,0,1,0
305033341,1,92,0,1,4,1,0,0,1,1957,0.239289233973419,59,0,0,1,0
305033343,0,0,0,1,4,1,1,0,0,1963,0.316814282937428,53,0,0,1,0
305033344,0,0,0,1,4,3,1,0,0,1953,0.34256568296288,63,0,0,1,0
305033345,0,0,1,0,4,10,0,0,0,1962,0.888151641760821,54,0,0,1,0
305033346,1,96,1,0,4,10,1,0,0,1958,0.741386213179421,58,0,0,1,0
305033348,1,1,1,0,4,8,0,0,0,1947,0.324430376075113,69,0,0,0,1
305033350,0,0,0,1,4,5,0,1,0,1948,1.36966281578858,68,0,0,0,1
305033351,1,1,0,1,4,1,1,0,0,1963,0.273419596713742,53,0,0,1,0
305033353,1,617,1,0,4,10,1,0,0,1955,0.273419596713742,61,0,0,1,0
305033355,1,10,1,0,4,9,1,0,0,1935,0.206444081809265,81,0,0,0,1
305033360,1,2,1,0,4,3,1,1,0,1966,0.148281224208277,50,0,0,1,0
305033361,1,8,0,1,4,3,1,0,0,1953,0.285931095593509,63,0,0,1,0
305033362,1,43,0,1,4,2,1,0,0,1944,0.174482254792965,72,0,0,0,1
305033365,0,0,0,1,4,9,1,1,0,1964,0.649508394848436,52,0,0,1,0
305033366,1,2,0,1,4,5,1,1,0,1939,0.347849372478055,77,0,0,0,1
305033368,0,0,0,1,4,NA,1,0,0,1947,0.188664577315981,69,0,0,0,1
305033369,1,4,1,0,4,9,1,0,0,1948,0.172313764706301,68,0,0,0,1
305033370,0,0,0,1,4,1,0,1,1,1969,6.2642748741761904,47,0,0,1,0
305033373,0,0,1,0,4,6,0,0,0,1933,0.324430376075113,83,0,0,0,1
305033374,1,10,0,0,4,7,1,1,0,1966,0.222005567744852,50,0,0,1,0
305033375,0,0,0,1,4,1,0,1,0,1973,0.580206665445287,43,0,1,0,0
305033376,1,53,0,1,3,2,0,1,0,1948,0.220291267339017,68,0,0,0,1
305033380,0,0,0,1,4,3,1,0,0,1980,0.466376782449595,36,0,1,0,0
305033382,1,24,0,1,4,1,0,0,0,1966,0.242486800171755,50,0,0,1,0
305033383,0,0,0,1,4,1,1,1,0,1947,0.180664952286497,69,0,0,0,1
305033384,0,0,1,0,4,4,1,0,1,1961,0.226529946982221,55,0,0,1,0
305033386,1,2,0,1,4,4,1,1,0,1941,0.180664952286497,75,0,0,0,1
305033387,0,0,0,1,4,1,1,1,0,1946,0.347849372478055,70,0,0,0,1
305033388,1,5,0,1,4,1,0,0,0,1958,0.190656665643001,58,0,0,1,0
305033389,1,129,1,0,4,9,1,0,0,1945,0.188664577315981,71,0,0,0,1
305033390,0,0,0,0,4,3,1,1,1,1984,0.736880305012358,32,0,1,0,0
305033391,1,26,1,0,4,10,0,0,0,1945,0.324430376075113,71,0,0,0,1
305033394,0,0,0,1,4,1,1,1,0,1953,0.20036437317342,63,0,0,1,0
305033396,1,31,0,1,4,2,1,0,0,1951,0.172313764706301,65,0,0,0,1
305033397,1,11,1,0,4,9,1,0,0,1946,0.190925235649378,70,0,0,0,1
305033398,1,35,0,1,4,1,0,1,0,1945,0.220291267339017,71,0,0,0,1
305033399,1,132,0,1,4,1,0,0,0,1963,0.220441846779659,53,0,0,1,0
305033401,0,0,0,1,4,8,1,0,0,1948,0.174482254792965,68,0,0,0,1
305033403,1,48,0,0,4,4,0,0,0,1955,0.190656665643001,61,0,0,1,0
305033404,0,0,0,1,4,1,1,1,0,1938,0.173131155567415,78,0,0,0,1
305033407,1,81,1,0,4,10,0,0,0,1967,0.220441846779659,49,0,0,1,0
305033408,1,3,0,0,4,9,1,0,0,1936,0.157473652425045,80,0,0,0,1
305033409,1,11,1,0,4,9,0,0,0,1956,0.888151641760821,60,0,0,1,0
305033410,1,19,1,0,4,10,1,0,0,1947,0.206444081809265,69,0,0,0,1
305033412,1,15,1,0,4,10,1,0,0,1947,0.157473652425045,69,0,0,0,1
305033414,1,6,0,1,4,7,0,1,0,1942,0.2037314984261,74,0,0,0,1
305033415,1,113,0,1,4,3,0,1,0,1944,0.551239055128892,72,0,0,0,1
305033416,1,393,1,0,4,10,1,0,0,1956,0.327576022080632,60,0,0,1,0
305033419,1,49,0,1,4,9,0,1,0,1958,0.184181337807281,58,0,0,1,0
305033421,1,1,0,1,4,1,1,0,0,1953,0.273419596713742,63,0,0,1,0
305033423,1,1,1,0,4,8,0,0,0,1954,0.644933510063292,62,0,0,1,0
305033424,1,26,0,1,4,2,1,0,0,1953,0.316814282937428,63,0,0,1,0
